,ORDER_ID,DT,RESTAURANT_RATING,GMV_TOTAL
0,145125000000,01-09-2022,4,745.5
1,145128000000,01-09-2022,5,267.75
2,145140000000,02-09-2022,2,493.5
3,145143000000,02-09-2022,5,189.0
4,145203000000,02-09-2022,5,173.25
5,145219000000,03-09-2022,5,871.5
6,145220000000,03-09-2022,5,257.25
7,145390000000,04-09-2022,5,246.75
8,145395000000,05-09-2022,5,210.0
9,145402000000,05-09-2022,5,231.0
10,145544000000,06-09-2022,4,267.75
11,145553000000,06-09-2022,5,189.0
12,145638000000,07-09-2022,3,514.5
13,145641000000,07-09-2022,5,178.5
14,145654000000,08-09-2022,5,225.75
15,145661000000,08-09-2022,5,325.4999945
16,145724000000,08-09-2022,5,1097.25
17,145743000000,09-09-2022,1,210.0
18,145743000000,09-09-2022,3,267.75
19,145902000000,10-09-2022,5,304.5
20,145916000000,11-09-2022,1,173.25
21,145979000000,11-09-2022,2,399.0
22,145998000000,12-09-2022,5,724.5
23,146004000000,12-09-2022,5,271.9500122
24,146083000000,13-09-2022,5,493.5
25,146163000000,13-09-2022,5,388.5
26,146174000000,14-09-2022,5,462.0
27,146179000000,14-09-2022,1,210.0
28,146262000000,15-09-2022,5,514.5
29,146331000000,15-09-2022,5,456.75
30,146334000000,15-09-2022,5,330.75
31,146437000000,17-09-2022,5,199.5
32,146501000000,17-09-2022,5,267.75
33,146520000000,18-09-2022,5,435.7500098
34,146526000000,18-09-2022,5,441.0
35,146676000000,19-09-2022,4,267.75
36,146761000000,20-09-2022,3,178.5
37,146956000000,23-09-2022,5,1144.5
38,147024000000,23-09-2022,5,519.75
39,147031000000,23-09-2022,5,210.0
40,147034000000,24-09-2022,5,1448.018452
41,147099000000,24-09-2022,4,882.0
42,147118000000,24-09-2022,5,1533.0
43,147131000000,25-09-2022,5,246.75
44,147209000000,26-09-2022,4,960.75
45,147213000000,26-09-2022,5,1563.022461
46,147283000000,26-09-2022,1,278.25
47,147467000000,29-09-2022,5,283.5
48,147478000000,29-09-2022,3,283.5
49,147554000000,30-09-2022,5,672.0
50,147560000000,30-09-2022,5,278.25
51,147731000000,02-10-2022,1,378.0
52,147823000000,03-10-2022,3,420.0
53,147890000000,03-10-2022,5,808.5
54,147903000000,04-10-2022,4,337.0499878
55,147973000000,04-10-2022,5,351.75
56,147976000000,04-10-2022,5,273.0
57,147980000000,04-10-2022,5,997.5
58,147985000000,05-10-2022,3,367.5
59,147985000000,05-10-2022,5,267.75
60,147991000000,05-10-2022,5,278.25
61,147992000000,05-10-2022,3,399.0
62,147996000000,05-10-2022,5,504.0
63,148050000000,05-10-2022,5,1186.5
64,148074000000,06-10-2022,5,267.75
65,148157000000,07-10-2022,5,430.5000098
66,148159000000,07-10-2022,1,367.5
67,148236000000,07-10-2022,1,252.0
68,148245000000,08-10-2022,5,420.0
69,148255000000,08-10-2022,3,178.5
70,148324000000,08-10-2022,1,278.25
71,148333000000,09-10-2022,5,210.0
72,148507000000,11-10-2022,4,178.5
73,148581000000,11-10-2022,5,252.0
74,148656000000,12-10-2022,4,619.5
75,148669000000,12-10-2022,4,246.75
76,148740000000,13-10-2022,4,252.0
77,148746000000,13-10-2022,1,252.0
78,148749000000,13-10-2022,4,367.5
79,148753000000,13-10-2022,5,273.0
80,148763000000,14-10-2022,5,246.75
81,148931000000,15-10-2022,5,178.5
82,148942000000,16-10-2022,5,178.5
83,149011000000,16-10-2022,4,740.25
84,149093000000,17-10-2022,1,540.75
85,149105000000,17-10-2022,5,540.75
86,149111000000,18-10-2022,3,215.25
87,149114000000,18-10-2022,2,273.0
88,149182000000,18-10-2022,5,341.25
89,149273000000,19-10-2022,5,388.5
90,149280000000,20-10-2022,5,857.3099976
91,149353000000,20-10-2022,5,357.0
92,149373000000,21-10-2022,5,483.0
93,149527000000,22-10-2022,1,477.75
94,149622000000,23-10-2022,1,1003.679993
95,149702000000,24-10-2022,2,640.5
96,149721000000,25-10-2022,1,1087.320007
97,149965000000,27-10-2022,5,189.0
98,150046000000,28-10-2022,5,304.5
99,150299000000,31-10-2022,4,635.25
100,150309000000,31-10-2022,5,273.0
101,150667000000,05-11-2022,1,210.0
102,150753000000,06-11-2022,1,199.5
103,150756000000,06-11-2022,1,640.5
