DT,ORDER_ID,GMV_TOTAL,ITEM_NAME,COMMENTS,DELIVERY_RATING,RESTAURANT_RATING,RATING_CATEGORY
13-09-2022,146083000000,493.5,Mushroom Manchurian ,,0,5,0
03-04-2023,163545000000,435.75,Aamras,,0,3,0
08-04-2023,164039000000,351.75,Aamras,,0,5,0
11-04-2023,164294000000,210,Aamras,,5,5,0
24-04-2023,165432000000,362.25,Aamras,,5,5,0
30-01-2023,158167000000,1119,Methi Paratha,,0,5,0
08-11-2022,150994000000,210,Dal Khichdi,,0,5,0
18-04-2023,164834000000,178.5000027,Dal Khichdi,,0,5,0
30-12-2022,155486000000,514.5000098,Dal Khichdi,,0,5,0
08-10-2022,148255000000,178.5,Dal Khichdi,"Too little quantity for the price
Taste however is quite good",0,3,Quantity
23-03-2023,162670000000,383.25,Dal Khichdi,,0,5,0
20-10-2022,149280000000,857.3099976,Dal Khichdi,,0,5,0
26-11-2022,152477000000,683.25,Dal Khichdi,How can paneer makhanwala be made spicy. I had specifically asked to make it non spicy and both dishes were spicy.,0,1,Taste
18-10-2022,149182000000,341.25,Dal Khichdi,,0,5,0
11-12-2022,153849000000,509.25,Dal Khichdi,,0,5,0
06-03-2023,161121000000,399,Dal Khichdi,,0,5,0
18-03-2023,162162000000,178.5,Dal Khichdi,,5,4,0
18-09-2022,146526000000,441,Dal Khichdi,,0,5,0
05-09-2022,145402000000,231,Dal Khichdi,,5,5,0
16-03-2023,161987000000,178.5,Dal Khichdi,,5,5,0
09-02-2023,158965000000,178.5,Dal Khichdi,,0,4,0
14-12-2022,154113000000,178.5,Dal Khichdi,,5,4,0
30-01-2023,158167000000,1119,Dal Khichdi,,0,5,0
25-12-2022,154983000000,177.6499939,Dal Khichdi,,5,4,0
12-09-2022,145998000000,724.5,Dal Khichdi,,0,5,0
30-04-2023,165941000000,824.25,Dal Khichdi,,0,5,0
01-04-2023,163365000000,283.5,Dal Khichdi,,0,5,0
07-02-2023,158790000000,667.5000195,Dal Khichdi,,0,5,0
10-09-2022,145902000000,304.5,Dal Khichdi,,0,5,0
11-10-2022,148507000000,178.5,Dal Khichdi,,0,4,0
29-12-2022,155338000000,177.6499939,Dal Khichdi,,0,4,0
23-02-2023,160170000000,456.75,Dal Khichdi,Quantity of food is very less specially paneer tikka masala it seems like they delivered left over food we found daal pieces in paneer tikka masala the delivery boy was also look alike chapri PLEASE REFUND MY MONEY AND REOMVE AADARSH BHAI ANNAPURNA FROM SWIGGY,0,1,Quantity
07-02-2023,158789000000,273,Dal Khichdi,,5,5,0
05-02-2023,158615000000,325.5,Dal Khichdi,,0,5,0
18-10-2022,149114000000,273,Dal Khichdi,Rice is not of dalkichadi..not traditional dal kictchadi this is just rice and dal.,2,2,Taste
04-09-2022,145390000000,246.75,Dal Khichdi,,0,5,0
04-12-2022,153178000000,898.5,Dal Khichdi,,0,5,0
25-09-2022,147131000000,246.75,Dal Khichdi,,5,5,0
06-09-2022,145553000000,189,Dal Khichdi,,0,5,0
03-09-2022,145220000000,257.25,Dal Khichdi,"Best service
Good",5,5,0
13-02-2023,159309000000,672.749989,Dal Khichdi,"Quantity of subji is very less this is pure scam
Quantity of subji is very less this is pure scam",1,1,Quantity
01-01-2023,155588000000,444.25,Dal Khichdi,,0,5,0
09-09-2022,145743000000,267.75,Dal Khichdi,,0,3,0
06-03-2023,161120000000,178.5,Dal Khichdi,,5,4,0
09-11-2022,151010000000,252,Dal Khichdi,,5,5,0
18-11-2022,151790000000,178.5,Dal Khichdi,,0,5,0
29-03-2023,163104000000,330.75,Dal Khichdi,,0,5,0
17-09-2022,146437000000,199.5,Dal Khichdi,,0,5,0
09-04-2023,164063000000,819,Dal Khichdi,"lassi spilled out
everythg was spoiled",1,1,Packaging
08-04-2023,163971000000,273,Dal Khichdi,,0,5,0
11-04-2023,164231000000,178.5,Dal Khichdi,Ordered Dal khichdi!! Quantity was very less for the amount!! Not enough even for a small child to eat! Such less quantity for such price !! Felt cheated!!,0,1,Quantity
19-03-2023,162251000000,215.25,Dal Khichdi,Nice taste,0,5,0
24-04-2023,165428000000,178.5,Dal Khichdi,Too much SALT..... couldn't eat...very poor food,5,1,Taste
24-04-2023,165436000000,273,Dal Khichdi,,5,5,0
24-04-2023,165421000000,593.25,Dal Khichdi,,0,5,0
21-01-2023,157316000000,667.5,Dal Khichdi,,0,3,0
31-01-2023,158257000000,1071.75,Dal Khichdi,,0,5,0
31-12-2022,155507000000,177.6499939,Dal Khichdi,,0,5,0
28-10-2022,150046000000,304.5,Dal Khichdi,,0,5,0
15-10-2022,148931000000,178.5,Dal Khichdi,,0,5,0
18-10-2022,149111000000,215.25,Dal Khichdi,,0,3,0
06-12-2022,153420000000,456.75,Dal Khichdi,"Worst delivery experience till date
Totally loved the food",1,5,0
14-11-2022,151442000000,189,Dal Khichdi,Instructions not follow by restaurant,5,1,Other
02-01-2023,155683000000,177.6499939,Dal Khichdi,"What is the use of selecting ""do not ring Bell"" option when the executive will ring it any way? Do they actually check the instructions given by the customers?
Or is it just to woo us to use this app?",1,4,0
02-09-2022,145143000000,189,Dal Khichdi,,0,5,0
29-04-2023,165784000000,294,Dal Khichdi,,5,1,0
22-12-2022,154801000000,1180.000996,Veg Kadai,,0,5,0
12-09-2022,145998000000,724.5,Veg Kadai,,0,5,0
23-09-2022,147024000000,519.75,Veg Kadai,,0,5,0
24-04-2023,165432000000,362.25,Veg Kadai,,5,5,0
20-04-2023,165082000000,514.5,Veg Kadai,,5,1,0
05-10-2022,147985000000,367.5,Veg Kadai,,5,3,0
06-10-2022,148074000000,267.75,Veg Kadai,,0,5,0
23-09-2022,147031000000,210,Veg Hyderabadi Biryani,,0,5,0
06-11-2022,150753000000,199.5,Veg Hyderabadi Biryani,,0,1,0
08-10-2022,148245000000,420,Veg Hyderabadi Biryani,,5,5,0
11-11-2022,151184000000,525,Veg Hyderabadi Biryani,,3,3,0
30-09-2022,147554000000,672,Sev Tamatar,,0,5,0
28-12-2022,155310000000,750.75,Sev Tamatar,Portion for all was very very small. Sev tamatar had no taste. Kadai paneer tasted old and paneer was not fresh. Dal makhani dal was kachha. Not even the correct colour. All three dishes were terrible and have left me feeling sick. I think I'm getting an upset stomach because of them,5,1,Taste
15-03-2023,161970000000,435.75,Sev Tamatar,,5,4,0
24-12-2022,154898000000,266.4750061,Sev Tamatar,,5,5,0
08-12-2022,153589000000,540.75,Sev Tamatar,,0,5,0
19-10-2022,149273000000,388.5,Sev Tamatar,,0,5,0
14-12-2022,154111000000,467.25,Sev Tamatar,,0,5,0
13-09-2022,146163000000,388.5,Sev Tamatar,,0,5,0
19-12-2022,154549000000,1439.25,Sev Tamatar,,0,2,0
24-11-2022,152375000000,951,Paneer TM,,0,5,0
20-09-2022,146761000000,178.5,Paneer TM,,0,3,0
20-10-2022,149280000000,857.3099976,Paneer TM,,0,5,0
17-10-2022,149093000000,540.75,Paneer TM,Eventhough specifically written as less spicey then food is tooooo spicey,0,1,Taste
05-10-2022,147985000000,367.5,Paneer TM,,5,3,0
16-11-2022,151695000000,462,Paneer TM,,0,4,0
05-02-2023,158619000000,1241.099976,Paneer TM,,5,5,0
05-10-2022,148050000000,1186.5,Paneer TM,,0,5,0
