,Item,Category,Total Sales
0,Masala Khichiya,Accompaniments,44850
1,Roasted B.Khichiya,Accompaniments,44735
2,Boondi Raita,Accompaniments,30590
6,Schezwan Fried Rice,Chinese,93645
7,Veg Manchurian ,Chinese,53105
8,Veg Fried Rice,Chinese,36880
9,Gulab Jamun,Desserts,248210
10,Churma,Desserts,5400
11,Aamras,Desserts,5000
15,Dal Bati,Flavours of Rajasthan,162125
16,Sev Tamatar,Flavours of Rajasthan,139495
17,Dal Bati Churma,Flavours of Rajasthan,73250
18,G.Phulka 5Pcs,Indian Breads,427190
19,B.Tandoori Roti,Indian Breads,161235
20,B.Tandoori Naan,Indian Breads,107100
24,Paneer TM,Main Course,410900
25,Dal Tadka,Main Course,203305
26,Veg Kolhapuri,Main Course,128850
30,Dal Khichdi,Rice & Biryani,378505
31,Veg Dum Biryani,Rice & Biryani,241325
32,Jeera Rice,Rice & Biryani,166470
36,Paneer Chilli,Starters,143285
37,Khichia Churi J,Starters,78520
38,Papad Khichia Churi Mix J,Starters,66920
41,Paneer TM Combo,Swiggy Exclusive Combos,189510
42,Dal Tadka Combo,Swiggy Exclusive Combos,95205
43,Veg Kolhapuri Combo,Swiggy Exclusive Combos,65080
