,Item,Category,Total Sales
3,Sweet Lassi,Beverages,3500
4,Chaas,Beverages,3195
5,Kesar Lassi,Beverages,960
12,Paneer TM Combo,FIFA Specials,2120
13,Veg Dum Biryani Combo,FIFA Specials,1995
14,Jodhpuri Gatte Combo,FIFA Specials,1275
21,Veg Biryani Combo,Late Night Specials,3000
22,Paneer TM Combo,Late Night Specials,2915
23,Dal Tadka Combo,Late Night Specials,2430
27,Aloo Paratha,Parathas,9425
28,Gobi Paratha,Parathas,3915
29,G.Tawa Paratha,Parathas,2860
33,Manchow Soup,Soups,13940
34,Tomato Soup,Soups,3240
35,Sweet corn Soup,Soups,1320
39,Aamras,Summer Special Menu,13600
40,Aamras + Puri,Summer Special Menu,12640
